scenario,margin_ct_per_kwh,energy_type,postcode,consumption_label,consumption_level_kwh,contract_length_months,provider,product,our_unit_rate_ct_per_kwh,our_standing_charge_eur_per_year,our_signup_bonus_eur,our_annual_cost_after_bonus_eur,our_rank,total_offers,cheaper_offers_count,percentile_rank,is_cheapest,is_top_3,avg_competitor_unit_rate_ct,avg_competitor_annual_cost_eur,min_competitor_annual_cost_eur,delta_vs_cheapest_competitor_eur,delta_rank_vs_standard
aggressive,0.8,ELECTRICITY,10405,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,30.62346,63.44,14.109354000000002,355.564146,24,60,23,39.0,false,false,34.22,348.07,-180.53,536.09,0
conservative,2.5,ELECTRICITY,10405,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,32.64646,63.44,14.412804000000001,375.490696,34,60,33,55.9,false,false,34.22,348.07,-180.53,556.02,10
standard,1.5,ELECTRICITY,10405,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,31.456460000000003,63.44,14.234304000000002,363.769196,24,60,23,39.0,false,false,34.22,348.07,-180.53,544.3,0
aggressive,0.8,ELECTRICITY,10405,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,30.62346,63.44,100.0,575.9081,4,57,3,5.4,false,false,34.2,649.62,223.17,352.74,-2
conservative,2.5,ELECTRICITY,10405,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,32.64646,63.44,100.0,616.3681,17,57,16,28.6,false,false,34.2,649.62,223.17,393.2,11
standard,1.5,ELECTRICITY,10405,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,31.456460000000003,63.44,100.0,592.5681000000001,6,57,5,8.9,false,false,34.2,649.62,223.17,369.4,0
aggressive,0.8,ELECTRICITY,10405,high,4500,12,Octopus Energy,Select+ Secure 12 Strom,30.62346,63.44,100.0,1341.4946000000002,4,49,3,6.3,false,false,34.07,1441.89,1232.42,109.07,-3
conservative,2.5,ELECTRICITY,10405,high,4500,12,Octopus Energy,Select+ Secure 12 Strom,32.64646,63.44,100.0,1432.5296,24,49,23,47.9,false,false,34.07,1441.89,1232.42,200.11,17
standard,1.5,ELECTRICITY,10405,high,4500,12,Octopus Energy,Select+ Secure 12 Strom,31.456460000000003,63.44,100.0,1378.9796000000001,7,49,6,12.5,false,false,34.07,1441.89,1232.42,146.56,0
aggressive,0.8,ELECTRICITY,10405,max,12000,12,Octopus Energy,Select+ Secure 12 Strom,30.62346,63.44,100.0,3638.2541000000006,1,1,0,,true,true,,,,,0
conservative,2.5,ELECTRICITY,10405,max,12000,12,Octopus Energy,Select+ Secure 12 Strom,32.64646,63.44,100.0,3881.0141,1,1,0,,true,true,,,,,0
standard,1.5,ELECTRICITY,10405,max,12000,12,Octopus Energy,Select+ Secure 12 Strom,31.456460000000003,63.44,100.0,3738.2141000000006,1,1,0,,true,true,,,,,0
aggressive,0.8,ELECTRICITY,26676,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,24.280759999999997,140.94,24.783654,358.96754599999997,14,55,13,24.1,false,false,26.99,381.39,213.62,145.35,-1
conservative,2.5,ELECTRICITY,26676,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,26.303759999999997,140.94,25.087104,378.894096,18,55,17,31.5,false,false,26.99,381.39,213.62,165.27,3
standard,1.5,ELECTRICITY,26676,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,25.113760000000003,140.94,24.908604,367.172596,15,55,14,25.9,false,false,26.99,381.39,213.62,153.55,0
aggressive,0.8,ELECTRICITY,26676,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,24.280759999999997,140.94,93.98382,532.57498,4,53,3,5.8,false,false,26.88,603.05,489.52,43.05,-2
conservative,2.5,ELECTRICITY,26676,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,26.303759999999997,140.94,100.0,567.0188,19,53,18,34.6,false,false,26.88,603.05,489.52,77.5,13
standard,1.5,ELECTRICITY,26676,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,25.113760000000003,140.94,96.48282000000002,546.73598,6,53,5,9.6,false,false,26.88,603.05,489.52,57.22,0
aggressive,0.8,ELECTRICITY,26676,high,4500,12,Octopus Energy,Select+ Secure 12 Strom,24.280759999999997,140.94,100.0,1133.5778,3,48,2,4.3,false,true,26.74,1210.14,1108.68,24.9,-9
conservative,2.5,ELECTRICITY,26676,high,4500,12,Octopus Energy,Select+ Secure 12 Strom,26.303759999999997,140.94,100.0,1224.6127999999999,33,48,32,68.1,false,false,26.74,1210.14,1108.68,115.93,21
standard,1.5,ELECTRICITY,26676,high,4500,12,Octopus Energy,Select+ Secure 12 Strom,25.113760000000003,140.94,100.0,1171.0628000000002,12,48,11,23.4,false,false,26.74,1210.14,1108.68,62.38,0
aggressive,0.8,ELECTRICITY,26676,max,12000,12,Octopus Energy,Select+ Secure 12 Strom,24.280759999999997,140.94,100.0,2954.6348,1,1,0,,true,true,,,,,0
conservative,2.5,ELECTRICITY,26676,max,12000,12,Octopus Energy,Select+ Secure 12 Strom,26.303759999999997,140.94,100.0,3197.3948,1,1,0,,true,true,,,,,0
standard,1.5,ELECTRICITY,26676,max,12000,12,Octopus Energy,Select+ Secure 12 Strom,25.113760000000003,140.94,100.0,3054.5948000000003,1,1,0,,true,true,,,,,0
aggressive,0.8,ELECTRICITY,37586,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,26.993959999999994,146.72,26.056358999999997,390.59834099999995,16,56,15,27.3,false,false,29.06,407.27,239.41,151.19,-3
conservative,2.5,ELECTRICITY,37586,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,29.016959999999997,146.72,26.359809,410.52489099999997,19,56,18,32.7,false,false,29.06,407.27,239.41,171.11,0
standard,1.5,ELECTRICITY,37586,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,27.82696,146.72,26.181309,398.80339100000003,19,56,18,32.7,false,false,29.06,407.27,239.41,159.39,0
aggressive,0.8,ELECTRICITY,37586,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,26.993959999999994,146.72,100.0,586.5942999999999,4,54,3,5.7,false,false,28.97,652.43,536.11,50.48,-2
conservative,2.5,ELECTRICITY,37586,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,29.016959999999997,146.72,100.0,627.0542999999999,21,54,20,37.7,false,false,28.97,652.43,536.11,90.94,15
