energy_type,product_name,postcode,town,consumption_from,consumption_to,unit_rate_gross_ct_per_kwh,standing_charge_gross_eur_per_month,signup_bonus,contract_length,price_guarantee
ELECTRICITY,Select+ Secure 12 Strom,10405,Berlin,100,1999,31.4565,5.29,14.23,12,12
ELECTRICITY,Select+ Secure 12 Strom,10405,Berlin,2000,4499,31.4565,5.29,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,10405,Berlin,4500,11999,31.4565,5.29,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,10405,Berlin,12000,20000,31.4565,5.29,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,26676,Barßel,100,1999,25.1138,11.75,24.91,12,12
ELECTRICITY,Select+ Secure 12 Strom,26676,Barßel,2000,4499,25.1138,11.75,96.48,12,12
ELECTRICITY,Select+ Secure 12 Strom,26676,Barßel,4500,11999,25.1138,11.75,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,26676,Barßel,12000,20000,25.1138,11.75,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,37586,Dassel,100,1999,27.827,12.23,26.18,12,12
ELECTRICITY,Select+ Secure 12 Strom,37586,Dassel,2000,4499,27.827,12.23,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,37586,Dassel,4500,11999,27.827,12.23,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,37586,Dassel,12000,20000,27.827,12.23,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,38106,Braunschweig,100,1999,28.9456,7.84,18.45,12,12
ELECTRICITY,Select+ Secure 12 Strom,38106,Braunschweig,2000,4499,28.9456,7.84,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,38106,Braunschweig,4500,11999,28.9456,7.84,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,38106,Braunschweig,12000,20000,28.9456,7.84,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,46325,Borken,100,1999,32.4799,10.38,23.56,12,12
ELECTRICITY,Select+ Secure 12 Strom,46325,Borken,2000,4499,32.4799,10.38,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,46325,Borken,4500,11999,32.4799,10.38,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,46325,Borken,12000,20000,32.4799,10.38,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,47574,Goch,100,1999,33.42,9.8,22.66,12,12
ELECTRICITY,Select+ Secure 12 Strom,47574,Goch,2000,4499,33.42,9.8,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,47574,Goch,4500,11999,33.42,9.8,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,47574,Goch,12000,20000,33.42,9.8,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,57413,Finnentrop,100,1999,32.1824,9.76,22.4,12,12
ELECTRICITY,Select+ Secure 12 Strom,57413,Finnentrop,2000,4499,32.1824,9.76,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,57413,Finnentrop,4500,11999,32.1824,9.76,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,57413,Finnentrop,12000,20000,32.1824,9.76,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,71691,Freiberg,100,1999,30.3141,10.38,23.23,12,12
ELECTRICITY,Select+ Secure 12 Strom,71691,Freiberg,2000,4499,30.3141,10.38,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,71691,Freiberg,4500,11999,30.3141,10.38,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,71691,Freiberg,12000,20000,30.3141,10.38,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,81671,München,100,1999,30.2784,8.26,19.41,12,12
ELECTRICITY,Select+ Secure 12 Strom,81671,München,2000,4499,30.2784,8.26,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,81671,München,4500,11999,30.2784,8.26,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,81671,München,12000,20000,30.2784,8.26,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,86470,Thannhausen,100,1999,26.1729,9.36,20.77,12,12
ELECTRICITY,Select+ Secure 12 Strom,86470,Thannhausen,2000,4499,26.1729,9.36,95.36,12,12
ELECTRICITY,Select+ Secure 12 Strom,86470,Thannhausen,4500,11999,26.1729,9.36,100.0,12,12
ELECTRICITY,Select+ Secure 12 Strom,86470,Thannhausen,12000,20000,26.1729,9.36,100.0,12,12
GAS,OctopusSelect+ 12 Gas,10405,Berlin,1001,11999,9.2439,4.41,21.82,12,12
GAS,OctopusSelect+ 12 Gas,10405,Berlin,12000,21999,9.1725,4.77,140.0,12,12
GAS,OctopusSelect+ 12 Gas,10405,Berlin,22000,39999,9.1725,4.77,140.0,12,12
GAS,OctopusSelect+ 12 Gas,10405,Berlin,40000,50000,8.9702,8.96,140.0,12,12
GAS,OctopusSelect+ 12 Gas,26676,Barßel,4001,11999,8.3157,16.97,80.45,12,12
GAS,OctopusSelect+ 12 Gas,26676,Barßel,12000,21999,8.3157,16.97,140.0,12,12
