energy_type,postcode,town,consumption_from,consumption_to,basecost_net_unit_rate_eur_per_kwh,basecost_net_standing_charge_eur_per_year
ELECTRICITY,10405,Berlin,100,20000,0.1485,43.31
ELECTRICITY,26676,Barßel,100,20000,0.0952,108.44
ELECTRICITY,37586,Dassel,100,20000,0.118,113.29
ELECTRICITY,38106,Braunschweig,100,20000,0.1274,69.02
ELECTRICITY,46325,Borken,100,20000,0.1571,94.71
ELECTRICITY,47574,Goch,100,20000,0.165,88.87
ELECTRICITY,57413,Finnentrop,100,20000,0.1546,88.44
ELECTRICITY,71691,Freiberg,100,20000,0.1389,94.67
ELECTRICITY,81671,München,100,20000,0.1386,73.27
ELECTRICITY,86470,Thannhausen,100,20000,0.1041,84.36
GAS,10405,Berlin,200,1000,0.0429,31.39
GAS,10405,Berlin,1001,6000,0.0348,39.49
GAS,10405,Berlin,6001,25000,0.0342,43.07
GAS,10405,Berlin,25001,50000,0.0325,85.31
GAS,26676,Barßel,200,4000,0.0399,73.97
GAS,26676,Barßel,4001,50000,0.027,166.12
GAS,37586,Dassel,200,1000,0.05,12.57
GAS,37586,Dassel,1001,10000,0.0376,24.93
GAS,37586,Dassel,10001,50000,0.0342,59.49
GAS,38106,Braunschweig,200,2000,0.0639,25.42
GAS,38106,Braunschweig,2001,10000,0.0532,46.92
GAS,38106,Braunschweig,10001,25000,0.0502,76.92
GAS,38106,Braunschweig,25001,50000,0.0493,98.92
GAS,46325,Borken,200,2000,0.0354,28.42
GAS,46325,Borken,2001,10000,0.0334,32.41
GAS,46325,Borken,10001,25000,0.0322,44.39
GAS,46325,Borken,25001,50000,0.0314,64.35
GAS,47574,Goch,200,2000,0.0489,27.17
GAS,47574,Goch,2001,10000,0.0409,43.17
GAS,47574,Goch,10001,25000,0.0401,51.17
GAS,47574,Goch,25001,50000,0.0385,91.17
GAS,57413,Finnentrop,200,20000,0.0414,33.58
GAS,57413,Finnentrop,20001,50000,0.0402,58.18
GAS,71691,Freiberg,200,999,0.046,30.9
GAS,71691,Freiberg,1000,1999,0.046,30.9
GAS,71691,Freiberg,2000,2999,0.046,30.9
GAS,71691,Freiberg,3000,3999,0.046,30.9
GAS,71691,Freiberg,4000,4999,0.046,30.9
GAS,71691,Freiberg,5000,5999,0.046,30.9
GAS,71691,Freiberg,6000,6999,0.046,30.9
GAS,71691,Freiberg,7000,7999,0.046,30.9
GAS,71691,Freiberg,8000,8999,0.046,30.9
GAS,71691,Freiberg,9000,9999,0.046,30.9
GAS,71691,Freiberg,10000,10999,0.0459,30.9
GAS,71691,Freiberg,11000,11999,0.0459,30.9
GAS,71691,Freiberg,12000,12999,0.0459,30.9
GAS,71691,Freiberg,13000,13999,0.0459,30.9
GAS,71691,Freiberg,14000,14999,0.0459,30.9
GAS,71691,Freiberg,15000,15999,0.0459,30.9
GAS,71691,Freiberg,16000,16999,0.0459,30.9
GAS,71691,Freiberg,17000,17999,0.0459,30.9
GAS,71691,Freiberg,18000,18999,0.0459,30.9
GAS,71691,Freiberg,19000,19999,0.0459,30.9
GAS,71691,Freiberg,20000,20999,0.0459,30.9
GAS,71691,Freiberg,21000,21999,0.0459,30.9
GAS,71691,Freiberg,22000,22999,0.0459,30.9
GAS,71691,Freiberg,23000,23999,0.0459,30.9
GAS,71691,Freiberg,24000,24999,0.0459,30.9
GAS,71691,Freiberg,25000,25999,0.0459,30.9
GAS,71691,Freiberg,26000,27999,0.0459,30.9
GAS,71691,Freiberg,28000,29999,0.0459,30.9
GAS,71691,Freiberg,30000,31999,0.0459,30.9
GAS,71691,Freiberg,32000,33999,0.0459,30.9
GAS,71691,Freiberg,34000,35999,0.0459,30.9
GAS,71691,Freiberg,36000,37999,0.0459,30.9
GAS,71691,Freiberg,38000,39999,0.0459,30.9
GAS,71691,Freiberg,40000,41999,0.0459,30.9
GAS,71691,Freiberg,42000,43999,0.0459,30.9
GAS,71691,Freiberg,44000,45999,0.0458,30.9
GAS,71691,Freiberg,46000,47999,0.0458,30.9
GAS,71691,Freiberg,48000,49999,0.0458,30.9
GAS,71691,Freiberg,50000,50000,0.0458,30.9
GAS,81671,München,200,7000,0.0414,29.9
GAS,81671,München,7001,50000,0.0368,62.37
GAS,86470,Thannhausen,200,8000,0.0382,25.98
GAS,86470,Thannhausen,8001,24000,0.034,59.42
GAS,86470,Thannhausen,24001,50000,0.033,82.7
