energy_type,postcode,location_name,consumption_level_kwh,provider,product,unit_rate_ct_per_kwh,standing_charge_eur_per_year,signup_bonus,price_guarantee_months,contract_length_months
ELECTRICITY,10405,Berlin,1000,123energie,123strom,33.65,153.74,135.01,12,12 Monate
ELECTRICITY,10405,Berlin,1000,123energie,123ökostrom,34.55,165.64,135.01,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Aras Energy,Aras Ideal Basic,32.16,143.59,85,12,12 Monate
ELECTRICITY,10405,Berlin,1000,E WIE EINFACH,Grün & Günstig Strom,35.8,146.4,136.64,12,12 Monate
ELECTRICITY,10405,Berlin,1000,ENSTROGA,Fairpower X,15,173.41,0,1,1 Monat
ELECTRICITY,10405,Berlin,1000,Erenja,Ökostrom Fix,32.55,88.96,0,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Erenja,Ökostrom Flex,30.29,123.95,0,1,1 Monat
ELECTRICITY,10405,Berlin,1000,Grünwelt Wärmestrom,Strom Bonus 12,37.72,150.99,153.23,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Knauber Strom,Knauber Strom Flexibel,30.78,105,0,3,3 Monate
ELECTRICITY,10405,Berlin,1000,Knauber Strom,Knauber Strom Sicher 12,31.78,105,0,12,12 Monate
ELECTRICITY,10405,Berlin,1000,LogoEnergie,LogoStrom clever,32.49,92.82,0,12,12 Monate
ELECTRICITY,10405,Berlin,1000,MONTANA,MONTANA dynamic,33.07,119.67,49.98,1,1 Monat
ELECTRICITY,10405,Berlin,1000,MONTANA,MONTANA garant 12,31.69,168.22,97.77,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Mainova,Strom Online 12,35.32,106.14,60,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Mainova,Strom Online 12 ÖkoPremium,37.21,106.14,60,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Ostrom,Ostrom SimplyFair,31.02,124.58,50.04,1,1 Monat
ELECTRICITY,10405,Berlin,1000,PLAN-B NET ZERO ENERGY,PBNZE DYNAMIC PRIVATE,21.23,162.8,0,1,1 Monat
ELECTRICITY,10405,Berlin,1000,Rabot Energy,rabot.home flex,23.61,112.47,68.55,1,1 Monat
ELECTRICITY,10405,Berlin,1000,SimplyGreen,SimplyGreen 12,35.2,132,100,12,12 Monate
ELECTRICITY,10405,Berlin,1000,SimplyGreen,SimplyGreen dynamisch,22.7,112.56,0,1,1 Monat
ELECTRICITY,10405,Berlin,1000,Stadtwerke Augsburg,swa Strom Online natur,35.77,123.99,107.44,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Stadtwerke Flensburg,Flensburg eXtra,31.83,106.53,0,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Stadtwerke Flensburg,Flensburg eXtra regio,31.95,108.87,0,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Stadtwerke Karlsruhe,BesserVersorgt Strom fix,34.15,160.29,123,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Stadtwerke München,M-Strom Fix,37.95,149.21,158.6,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Stadtwerke München,M-Ökostrom Fix,38.9,149.21,158.6,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Stadtwerke Pforzheim,SWP MaxSpar Strom,34.45,112.09,68,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Stadtwerke Schwerin,meckpommSTROM 12,34.61,112.09,68.72,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Stadtwerke Schwerin,meckpommSTROM natur 12,34.91,112.09,69.17,12,12 Monate
ELECTRICITY,10405,Berlin,1000,TEAG Thüringer Energie,TEAG.Strom direkt,35.07,120.86,120,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Tchibo Energy,Tchibo Energy ÖkoStrom12,35.9,130.8,118,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Tibber Deutschland,Dynamischer Tarif,22.46,124.52,45.88,1,1 Monat
ELECTRICITY,10405,Berlin,1000,Vattenfall Sales,ÖkoStrom12 Berlin,35.7,130.8,118,12,12 Monate
ELECTRICITY,10405,Berlin,1000,VeganStrom,VeganStrom Solarplus,34.25,115.8,68.75,12,12 Monate
ELECTRICITY,10405,Berlin,1000,Volkswagen Group Charging,Volkswagen Naturstrom Flex,30.36,124.58,0,1,1 Monat
ELECTRICITY,10405,Berlin,1000,enercity,enercity Strom natürlich garantiert,34.49,126.96,102,12,12 Monate
ELECTRICITY,10405,Berlin,1000,enno energie,enno strom Vario,33.39,88.25,0,12,12 Monate
ELECTRICITY,10405,Berlin,1000,eprimo,eprimoStrom PrimaKlima,36.19,128.77,123.4,12,12 Monate
ELECTRICITY,10405,Berlin,1000,goldstrom,goldgas sicher12 Strom,35.3,102.11,85.26,12,12 Monate
ELECTRICITY,10405,Berlin,1000,goldstrom,natürlich12 Strom,35.59,102.11,87.89,12,12 Monate
ELECTRICITY,10405,Berlin,2000,123energie,123strom,33.65,165.64,215,12,12 Monate
ELECTRICITY,10405,Berlin,2000,123energie,123ökostrom,34.55,177.54,215,12,12 Monate
ELECTRICITY,10405,Berlin,2000,E WIE EINFACH,Grün & Günstig Strom,35.26,157.2,250.11,12,12 Monate
ELECTRICITY,10405,Berlin,2000,EMB Energie Brandenburg,STROM Smart 12,34.86,124.95,190,12,12 Monate
ELECTRICITY,10405,Berlin,2000,ENSTROGA,Fairpower X,16.58,173.41,0,1,1 Monat
ELECTRICITY,10405,Berlin,2000,ENTEGA,ENTEGA Ökostrom eco,36.93,100.19,224,12,12 Monate
ELECTRICITY,10405,Berlin,2000,EWE Vertrieb,EWE Zuhause+ Grünstrom,36.97,116.43,188,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Elektrizitätsversorgung Berlin,ELEKTRIZITÄT BERLIN Strom,31.92,159.56,169.68,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Fuxx - Die Sparenergie,Fuxx-Spar Optimal,34.8,97.54,144.02,12,12 Monate
ELECTRICITY,10405,Berlin,2000,GASAG,GASAG STROM Smart 12,35.12,118.8,175,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Grünwelt Wärmestrom,Strom Bonus 12,37.08,139.89,256.22,12,12 Monate
ELECTRICITY,10405,Berlin,2000,MONTANA,MONTANA dynamic,33.07,119.67,99.96,1,1 Monat
ELECTRICITY,10405,Berlin,2000,MONTANA,MONTANA garant 12,33.65,168.22,151.19,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Mainova,Strom Online 12,35.32,106.14,175.01,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Mainova,Strom Online 12 ÖkoPremium,37.21,106.14,175.01,12,12 Monate
ELECTRICITY,10405,Berlin,2000,NEW Energie,NEWfair Strom 12,34.42,100.19,176.32,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Ostrom,Ostrom SimplyFair,31.02,124.58,50.04,1,1 Monat
ELECTRICITY,10405,Berlin,2000,PLAN-B NET ZERO ENERGY,PBNZE DYNAMIC PRIVATE,22.92,131.1,0,1,1 Monat
ELECTRICITY,10405,Berlin,2000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12,34.07,141.84,220,12,12 Monate
ELECTRICITY,10405,Berlin,2000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12 Natur,34.55,141.84,220,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Rabot Energy,rabot.home flex,23.61,112.47,64.26,1,1 Monat
ELECTRICITY,10405,Berlin,2000,SCHARR WÄRME,SCHARRMANT Öko Strom 12,34.72,126.4,129,12,12 Monate
ELECTRICITY,10405,Berlin,2000,SimplyGreen,SimplyGreen dynamisch,22.7,112.56,0,1,1 Monat
ELECTRICITY,10405,Berlin,2000,SpreeGas,SpreeGas | STROM Smart 12,34.86,124.92,170,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Stadtwerke Augsburg,swa Strom Online natur,35.77,123.99,216.52,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Stadtwerke Karlsruhe,BesserVersorgt Strom fix,34.15,160.29,227,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Stadtwerke München,M-Strom Fix,37.95,149.21,272.5,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Stadtwerke München,M-Ökostrom Fix,38.9,149.21,272.5,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Stadtwerke Pforzheim,SWP MaxSpar Strom,34.45,112.09,120,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Stadtwerke Schwerin,meckpommSTROM 12,34.61,112.09,120.61,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Stadtwerke Schwerin,meckpommSTROM natur 12,34.91,112.09,121.51,12,12 Monate
ELECTRICITY,10405,Berlin,2000,TEAG Thüringer Energie,TEAG.Strom direkt,35.07,120.86,200,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Tibber Deutschland,Dynamischer Tarif,22.46,124.52,45.88,1,1 Monat
ELECTRICITY,10405,Berlin,2000,Vattenfall Sales,ÖkoStrom12 Berlin,35.7,130.8,230,12,12 Monate
ELECTRICITY,10405,Berlin,2000,Vattenfall Sales,ÖkoStrom12 Smart Berlin,35.7,130.8,228,12,12 Monate
ELECTRICITY,10405,Berlin,2000,VeganStrom,VeganStrom Solarplus,33.52,115.8,117.93,12,12 Monate
ELECTRICITY,10405,Berlin,2000,eins energie in sachsen,einsstrom Online,32.76,115.1,125,12,12 Monate
ELECTRICITY,10405,Berlin,2000,enviaM,MEIN STROM relax,35.66,137.09,202.6,12,12 Monate
ELECTRICITY,10405,Berlin,2000,eprimo,eprimoStrom PrimaKlima,36.27,148.23,261.42,12,12 Monate
ELECTRICITY,10405,Berlin,2000,goldstrom,goldgas sicher12 Strom,34.84,114.01,196.5,12,12 Monate
ELECTRICITY,10405,Berlin,2000,goldstrom,natürlich12 Strom,35.14,114.01,200.95,12,12 Monate
ELECTRICITY,10405,Berlin,2000,immergrün! energie,Spar Smart FairPlus,31.77,115.19,152.58,12,12 Monate
ELECTRICITY,10405,Berlin,2000,tado energy,tado° Home Monthly,27.44,107.64,0,1,1 Monat
ELECTRICITY,10405,Berlin,3000,123energie,123strom,33.65,165.64,215,12,12 Monate
ELECTRICITY,10405,Berlin,3000,123energie,123ökostrom,34.55,177.54,215,12,12 Monate
ELECTRICITY,10405,Berlin,3000,E WIE EINFACH,Grün & Günstig Strom,35.09,163.2,294.83,12,12 Monate
ELECTRICITY,10405,Berlin,3000,EMB Energie Brandenburg,STROM Smart 12,34.86,124.95,185,12,12 Monate
ELECTRICITY,10405,Berlin,3000,ENSTROGA,Fairpower X,18.51,173.41,0,1,1 Monat
ELECTRICITY,10405,Berlin,3000,ENTEGA,ENTEGA Ökostrom eco,36.93,100.19,285,12,12 Monate
ELECTRICITY,10405,Berlin,3000,EWE Vertrieb,EWE Zuhause+ Grünstrom,36.97,116.43,258,12,12 Monate
ELECTRICITY,10405,Berlin,3000,Elektrizitätsversorgung Berlin,ELEKTRIZITÄT BERLIN Strom,28.91,216.76,212.59,12,12 Monate
ELECTRICITY,10405,Berlin,3000,Fuxx - Die Sparenergie,Fuxx-Spar Optimal,35.55,85.78,202.82,12,12 Monate
ELECTRICITY,10405,Berlin,3000,GASAG,GASAG STROM Smart 12,35.12,118.8,190,12,12 Monate
ELECTRICITY,10405,Berlin,3000,Grünwelt Wärmestrom,Strom Bonus 12,37.08,186.21,376.79,12,12 Monate
ELECTRICITY,10405,Berlin,3000,KlickEnergie,KlickNaturstrom,31.61,119.2,120,12,12 Monate
ELECTRICITY,10405,Berlin,3000,KlickEnergie,KlickStrom,31.42,119.2,120,12,12 Monate
ELECTRICITY,10405,Berlin,3000,MONTANA,MONTANA dynamic,33.07,119.67,149.94,1,1 Monat
ELECTRICITY,10405,Berlin,3000,MONTANA,MONTANA garant 12,34.31,168.22,204.62,12,12 Monate
ELECTRICITY,10405,Berlin,3000,Mainova,Strom Online 12,35.32,106.14,215,12,12 Monate
ELECTRICITY,10405,Berlin,3000,NEW Energie,NEWfair Strom 12,34.42,100.19,210.72,12,12 Monate
ELECTRICITY,10405,Berlin,3000,PLAN-B NET ZERO ENERGY,PBNZE DYNAMIC PRIVATE,22.92,131.1,0,1,1 Monat
ELECTRICITY,10405,Berlin,3000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12,34.07,141.84,220,12,12 Monate
ELECTRICITY,10405,Berlin,3000,R(H)EINPOWER,R(H)EINPOWER MeinStrom 12 Natur,34.55,141.84,220,12,12 Monate
ELECTRICITY,10405,Berlin,3000,Rabot Energy,rabot.home flex,23.25,112.47,52.84,1,1 Monat
ELECTRICITY,10405,Berlin,3000,SCHARR WÄRME,SCHARRMANT Öko Strom 12,34.72,126.4,219,12,12 Monate
ELECTRICITY,10405,Berlin,3000,SimplyGreen,SimplyGreen dynamisch,22.7,112.56,0,1,1 Monat
ELECTRICITY,10405,Berlin,3000,Stadtwerke Augsburg,swa Strom Online natur,35.77,123.99,262.6,12,12 Monate
ELECTRICITY,10405,Berlin,3000,Stadtwerke Karlsruhe,BesserVersorgt Strom fix,34.15,160.29,265,12,12 Monate
ELECTRICITY,10405,Berlin,3000,Stadtwerke München,M-Strom Fix,37.95,149.21,365.7,12,12 Monate
ELECTRICITY,10405,Berlin,3000,Stadtwerke München,M-Ökostrom Fix,38.9,149.21,365.7,12,12 Monate
ELECTRICITY,10405,Berlin,3000,Stadtwerke Pforzheim,SWP MaxSpar Strom,34.45,112.09,171,12,12 Monate
ELECTRICITY,10405,Berlin,3000,Stadtwerke Schwerin,meckpommSTROM 12,34.61,112.09,172.51,12,12 Monate
ELECTRICITY,10405,Berlin,3000,Stadtwerke Schwerin,meckpommSTROM natur 12,34.91,112.09,173.86,12,12 Monate
ELECTRICITY,10405,Berlin,3000,TEAG Thüringer Energie,TEAG.Strom direkt,35.07,120.86,250,12,12 Monate
ELECTRICITY,10405,Berlin,3000,Tibber Deutschland,Dynamischer Tarif,22.46,124.52,45.88,1,1 Monat
ELECTRICITY,10405,Berlin,3000,Vattenfall Sales,ÖkoStrom12 Berlin,35.7,130.8,279,12,12 Monate
ELECTRICITY,10405,Berlin,3000,Vattenfall Sales,ÖkoStrom12 Smart Berlin,35.7,130.8,277,12,12 Monate
ELECTRICITY,10405,Berlin,3000,VeganStrom,VeganStrom Solarplus,33.83,115.8,169.61,12,12 Monate
ELECTRICITY,10405,Berlin,3000,eins energie in sachsen,einsstrom Online,32.76,115.1,125,12,12 Monate
ELECTRICITY,10405,Berlin,3000,enviaM,MEIN STROM relax,35.66,137.09,238.9,12,12 Monate
ELECTRICITY,10405,Berlin,3000,eprimo,eprimoStrom PrimaKlima,36.61,159.53,337.31,12,12 Monate
ELECTRICITY,10405,Berlin,3000,goldstrom,goldgas sicher12 Strom,34.8,137.81,259.55,12,12 Monate
ELECTRICITY,10405,Berlin,3000,goldstrom,natürlich12 Strom,35.09,137.81,267.53,12,12 Monate
